year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,4046.0,10.977687800000002,12.91330727,True,adult;entertainment
2000,6,0.6666666666666666,3218.833333,11.76409474,13.45427322,True,adult;entertainment
2001,4,3.25,2789.75,12.53576311,13.45427322,True,adult;entertainment
2002,11,2.727272727272727,2699.363636,12.44321036,13.29373889,True,adult;entertainment
2003,22,3.1818181818181817,4246.9090909999995,12.98378827,15.51959976,True,adult;entertainment
2004,48,2.9166666666666665,5372.333333,12.52858657,15.31738472,True,adult;entertainment
2005,67,2.373134328358209,5561.477612,12.59562317,15.32131238,True,adult;entertainment
2006,90,2.8,5082.022222,12.573661900000001,15.19847235,True,adult;entertainment
2007,118,2.5508474576271185,4736.211864,12.75434246,15.57700842,True,adult;entertainment
2008,154,2.311688311688312,5020.175325,12.81040678,15.51668018,True,adult;entertainment
2009,153,1.8431372549019607,5418.477124,12.99071823,15.34384259,True,adult;entertainment
2010,228,1.6403508771929824,5439.337719,13.2150451,15.23028717,True,adult;entertainment
2011,293,1.9112627986348123,5801.7337880000005,13.23719699,15.39111697,True,adult;entertainment
2012,355,2.0225352112676056,5821.132394,13.28625971,15.43124522,True,adult;entertainment
2013,414,2.028985507246377,6014.256039,13.40157578,15.44595081,True,adult;entertainment
2014,463,2.101511879049676,5973.399568,13.58473624,15.68763296,True,adult;entertainment
2015,511,2.334637964774951,6054.980431,13.71176387,15.78319424,True,adult;entertainment
2016,543,2.103130755064457,6539.13628,13.34258926,15.31138768,True,adult;entertainment
2017,586,2.3515358361774745,7204.807167,13.20490446,15.13175359,True,adult;entertainment
2018,466,2.6609442060085837,8244.751073000001,12.98240813,14.92071264,True,adult;entertainment
2019,432,2.537037037037037,10167.6088,12.93391998,14.98207578,True,adult;entertainment
