year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2005,2,9.0,5237.0,9.321617085,12.040495905,False,business;religion - 
2006,3,3.0,5799.666666666667,3.1072056949999998,4.013498636666667,False,business;religion - 
2007,4,0.0,6071.5,0.0,0.0,False,business;religion - 
2008,3,0.0,6064.0,0.0,0.0,False,business;religion - 
2009,1,0.0,6064.0,0.0,0.0,False,business;religion - 
2010,4,0.0,6064.0,0.0,0.0,False,business;religion - 
2011,4,0.0,6069.0,0.0,0.0,False,business;religion - 
2012,4,0.0,6064.5,0.0,0.0,False,business;religion - 
2013,4,0.0,6055.0,0.0,0.0,False,business;religion - 
2014,4,0.0,6211.5,6.4296796125,0.0,False,business;religion - 
2015,4,0.0,8601.5,9.5753280825,8.3042635125,False,business;religion - 
2016,2,0.0,9346.0,8.480651035,11.07235135,False,business;religion - 
2017,4,0.0,9346.0,8.480651035,11.07235135,False,business;religion - 
2018,4,5.0,11349.0,12.3301808325,15.8605375075,False,business;religion - 
2019,3,4.666666666666667,13548.0,13.521068,16.42157393333333,False,business;religion - 
