year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,1,0.0,1997.0,13.22641026,,True,business;travel
1999,3,0.0,4522.333333,13.56089464,15.20269789,True,business;travel
2000,36,1.3888888888888888,4350.805556,12.27546585,15.14297791,True,business;travel
2001,84,1.3928571428571428,4662.928571,12.53510551,14.71342232,True,business;travel
2002,124,1.217741935483871,6267.5645159999995,12.64066265,15.13707496,True,business;travel
2003,155,1.2193548387096773,5811.477419,12.40065735,14.80466794,True,business;travel
2004,184,1.0815217391304348,5534.63587,12.07960861,14.53732844,True,business;travel
2005,213,1.2300469483568075,6494.910798,12.23567436,14.51651972,True,business;travel
2006,306,1.4836601307189543,6819.960784000001,12.48788131,14.9488867,True,business;travel
2007,345,1.5623188405797102,7439.982609000001,12.68581015,15.10847687,True,business;travel
2008,422,1.4454976303317535,7882.026065999999,12.77410283,15.11538308,True,business;travel
2009,406,1.5246305418719213,8074.283251000001,12.80194133,15.14354879,True,business;travel
2010,469,1.7547974413646055,8120.5629,12.83314023,15.15877411,True,business;travel
2011,600,1.7366666666666666,7966.431667,12.8259561,15.19466878,True,business;travel
2012,709,1.83638928067701,8224.193229999999,12.83024613,15.08342722,True,business;travel
2013,774,1.9741602067183464,9135.324289,12.87620327,15.094064999999999,True,business;travel
2014,843,2.1945432977461445,9766.805456999999,12.97981557,15.19942808,True,business;travel
2015,904,2.3064159292035398,10417.25996,12.96040354,15.09400674,True,business;travel
2016,884,2.22737556561086,10902.88575,13.02781397,15.1078947,True,business;travel
2017,782,2.3452685421994883,12100.48338,13.14517635,15.18407636,True,business;travel
2018,585,2.858119658119658,17644.09915,13.32428429,15.31756594,True,business;travel
2019,668,3.4505988023952097,20124.55389,13.27767975,15.2137828,True,business;travel
