year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,2,22.0,3882.0,9.013333335,0.0,False,entertainment;games;streamingmedia - games;streamingmedia - 
2002,2,13.5,4655.5,8.29955128,0.0,False,entertainment;games;streamingmedia - games;streamingmedia - 
2003,2,14.5,5373.5,8.757312955,0.0,False,entertainment;games;streamingmedia - games;streamingmedia - 
2004,2,16.0,6120.5,9.19684869,0.0,False,entertainment;games;streamingmedia - games;streamingmedia - 
2006,1,6.0,8982.0,12.74408463,14.69652958,False,entertainment;games;streamingmedia - games;streamingmedia - 
2007,2,5.0,12177.0,12.761651955,14.265292615,False,entertainment;games;streamingmedia - games;streamingmedia - 
2008,2,14.0,7444.0,11.1280734455,7.7570194,False,entertainment;games;streamingmedia - games;streamingmedia - 
2009,3,16.333333333333332,7053.666666666667,10.360572323333335,5.0974885500000005,False,entertainment;games;streamingmedia - games;streamingmedia - 
2010,1,7.0,8263.0,12.85981221,15.29246565,False,entertainment;games;streamingmedia - games;streamingmedia - 
2011,5,12.6,5786.6,11.830341796,3.05849313,False,entertainment;games;streamingmedia - games;streamingmedia - 
2012,7,12.142857142857142,7746.428571428572,12.60114153142857,6.607830408571429,False,entertainment;games;streamingmedia - games;streamingmedia - 
2013,4,14.0,10427.75,13.3691496325,8.03041731,False,entertainment;games;streamingmedia - games;streamingmedia - 
2014,4,8.75,13684.75,14.5989019025,11.941858775,False,entertainment;games;streamingmedia - games;streamingmedia - 
2015,8,6.875,11526.5,14.19408720625,9.77934044875,False,entertainment;games;streamingmedia - games;streamingmedia - 
2016,8,12.875,11269.125,14.0749405525,11.480392988750001,False,entertainment;games;streamingmedia - games;streamingmedia - 
2017,3,23.0,10926.333333333334,13.827221936666668,14.742889839999998,False,entertainment;games;streamingmedia - games;streamingmedia - 
2018,2,41.0,12007.5,13.50406872,15.040279235,False,entertainment;games;streamingmedia - games;streamingmedia - 
2019,2,50.0,13283.0,13.017228355,15.337102005,False,entertainment;games;streamingmedia - games;streamingmedia - 
