year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2006,3,5.0,2690.0,10.31079861,,True,mediasharing;shopping
2007,2,5.0,2690.0,10.31079861,,True,mediasharing;shopping
2008,3,4.333333333333333,5971.0,10.31079861,,True,mediasharing;shopping
2009,3,3.6666666666666665,9278.666667,12.27751621,15.60156596,True,mediasharing;shopping
2010,2,3.0,12613.0,14.24423381,15.60156596,True,mediasharing;shopping
2011,2,3.5,11581.0,12.71902499,15.60156596,True,mediasharing;shopping
2012,3,6.0,10180.66667,10.45968599,13.45427322,True,mediasharing;shopping
2013,4,4.5,8780.25,10.50332553,13.45427322,True,mediasharing;shopping
2014,4,4.5,8798.0,10.50332553,13.45427322,True,mediasharing;shopping
2015,8,3.75,8487.25,11.66324665,14.88819781,True,mediasharing;shopping
2016,5,6.0,11998.8,11.80953863,15.36617267,True,mediasharing;shopping
2017,5,4.8,10054.0,11.16952394,14.41022295,True,mediasharing;shopping
2018,2,0.0,14280.0,12.13538056,13.81230292,True,mediasharing;shopping
2019,6,1.8333333333333333,7655.333333,11.64798491,13.73623408,True,mediasharing;shopping
