year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,5,13.0,8214.2,12.8471701,14.73148446,True,shopping;sports
2001,6,3.5,6573.333333,12.07398024,14.21316921,True,shopping;sports
2002,8,3.125,6577.75,12.08247168,14.19189372,True,shopping;sports
2003,12,3.0833333333333335,6911.5,11.82279664,13.86690221,True,shopping;sports
2004,12,4.0,7576.083333,11.44569852,13.58205018,True,shopping;sports
2005,16,1.9375,5571.5625,11.12552066,13.31867749,True,shopping;sports
2006,18,3.111111111111111,7524.777778,11.60097199,14.237562400000002,True,shopping;sports
2007,22,4.090909090909091,8687.454545,12.20197692,14.61732961,True,shopping;sports
2008,28,2.9642857142857144,6537.821429,12.01959584,14.54230343,True,shopping;sports
2009,29,3.7241379310344827,6520.62069,12.35548953,14.64638929,True,shopping;sports
2010,34,5.0588235294117645,8696.411765,12.2572668,14.35120727,True,shopping;sports
2011,44,5.909090909090909,8384.5,12.05568753,14.21519884,True,shopping;sports
2012,54,8.944444444444445,8771.314815,12.22599619,14.25928896,True,shopping;sports
2013,53,8.20754716981132,9554.283019,12.34143415,14.52807514,True,shopping;sports
2014,56,5.214285714285714,8502.678570999999,12.3325136,14.60808209,True,shopping;sports
2015,54,6.444444444444445,9573.055556,12.63859237,14.74380411,True,shopping;sports
2016,50,6.4,9421.52,12.54192998,14.68277666,True,shopping;sports
2017,38,7.5,11562.94737,12.73371917,14.93820731,True,shopping;sports
2018,24,9.375,15958.375,13.33479233,15.44404907,True,shopping;sports
2019,22,5.590909090909091,14331.181819999998,12.79550559,15.18930402,True,shopping;sports
