year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,2,0.0,2657.0,13.58425532,,True,adult;entertainment;newsandmedia
2003,1,0.0,6775.0,11.0938279,13.0238668,True,adult;entertainment;newsandmedia
2004,2,0.0,6722.0,10.9257967,12.85755635,True,adult;entertainment;newsandmedia
2005,3,2.6666666666666665,9084.0,11.70307454,13.915858600000002,True,adult;entertainment;newsandmedia
2006,3,2.6666666666666665,9642.666667,11.75985274,14.37223019,True,adult;entertainment;newsandmedia
2007,4,6.5,10637.0,12.51849122,15.14408234,True,adult;entertainment;newsandmedia
2008,6,6.0,9338.5,12.09369603,14.52930113,True,adult;entertainment;newsandmedia
2009,4,9.5,14289.25,12.95355995,15.24747717,True,adult;entertainment;newsandmedia
2010,3,9.333333333333334,13235.66667,13.01305651,15.49434065,True,adult;entertainment;newsandmedia
2011,6,7.5,13438.833330000001,12.90868668,14.9312196,True,adult;entertainment;newsandmedia
2012,6,7.5,12243.16667,13.06661984,15.27772909,True,adult;entertainment;newsandmedia
2013,8,6.5,10538.875,13.00139938,15.10766052,True,adult;entertainment;newsandmedia
2014,8,6.875,11049.75,13.07345592,15.48018092,True,adult;entertainment;newsandmedia
2015,8,6.75,10497.375,13.12173918,15.48308298,True,adult;entertainment;newsandmedia
2016,8,5.25,8652.125,13.20565272,15.24334771,True,adult;entertainment;newsandmedia
2017,8,4.5,9004.875,13.59792091,15.220309699999998,True,adult;entertainment;newsandmedia
2018,8,5.625,18429.75,12.81186719,15.04669747,True,adult;entertainment;newsandmedia
2019,8,7.0,23178.125,12.67102571,14.52709431,True,adult;entertainment;newsandmedia
