year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,2.0,5693.0,14.98012121,17.08348895,True,alcoholandtobacco;business;education
2002,2,2.0,5693.0,14.98012121,17.08348895,True,alcoholandtobacco;business;education
2003,2,2.0,5693.0,14.98012121,17.08348895,True,alcoholandtobacco;business;education
2004,2,2.0,5693.0,14.98012121,17.08348895,True,alcoholandtobacco;business;education
2005,2,2.0,5693.0,14.98012121,17.08348895,True,alcoholandtobacco;business;education
2006,3,1.3333333333333333,8412.0,14.05113418,16.20865265,True,alcoholandtobacco;business;education
2007,2,2.0,5693.0,14.98012121,17.08348895,True,alcoholandtobacco;business;education
2008,4,1.0,9771.5,13.58664067,15.7712345,True,alcoholandtobacco;business;education
2009,6,1.3333333333333333,7980.666667,13.00111573,15.35001644,True,alcoholandtobacco;business;education
2010,6,1.0,7739.333333,13.26542687,15.83793645,True,alcoholandtobacco;business;education
2011,6,2.5,9148.333333,11.63330773,14.13153397,True,alcoholandtobacco;business;education
2012,7,0.5714285714285714,7652.4285709999995,15.30887957,17.499727,True,alcoholandtobacco;business;education
2013,6,4.5,14002.833330000001,14.68111097,16.78163132,True,alcoholandtobacco;business;education
2014,4,1.0,5446.0,13.64357312,16.14908501,True,alcoholandtobacco;business;education
2015,7,3.857142857142857,11113.28571,14.06008218,15.95980759,True,alcoholandtobacco;business;education
2016,9,5.777777777777778,12595.77778,14.53594243,16.07544935,True,alcoholandtobacco;business;education
2017,5,11.6,16620.0,14.04244655,15.10846324,True,alcoholandtobacco;business;education
2018,5,10.0,13607.2,13.84722113,14.68064925,True,alcoholandtobacco;business;education
2019,6,5.833333333333333,17812.16667,13.47032418,15.17126557,True,alcoholandtobacco;business;education
