year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2003,1,0.0,1570.0,10.898245900000001,0.0,False,blogsandpersonal;business;informationtech - 
2004,2,0.0,1570.0,10.898245895,0.0,False,blogsandpersonal;business;informationtech - 
2005,2,0.0,1570.0,10.898245895,0.0,False,blogsandpersonal;business;informationtech - 
2006,2,0.0,1570.0,10.898245895,0.0,False,blogsandpersonal;business;informationtech - 
2007,4,0.0,3299.0,12.57545913,0.0,False,blogsandpersonal;business;informationtech - 
2008,3,0.0,2537.6666666666665,14.013627076666666,0.0,False,blogsandpersonal;business;informationtech - 
2009,4,0.5,4967.25,13.250600165,3.28330114,False,blogsandpersonal;business;informationtech - 
2010,13,0.3076923076923077,3946.3076923076924,11.077495992307693,2.020493009230769,False,blogsandpersonal;business;informationtech - 
2011,20,0.2,3835.95,11.271376255000002,2.725099142,False,blogsandpersonal;business;informationtech - 
2012,25,0.16,4605.16,12.200984544000002,3.3045295144,False,blogsandpersonal;business;informationtech - 
2013,34,0.11764705882352941,3846.6176470588234,12.307348744117647,1.6254905470588235,False,blogsandpersonal;business;informationtech - 
2014,28,0.07142857142857142,4568.678571428572,12.430465864285713,2.443196443928571,False,blogsandpersonal;business;informationtech - 
2015,31,0.12903225806451613,4390.451612903225,12.224903919354839,2.225195887096774,False,blogsandpersonal;business;informationtech - 
2016,34,0.058823529411764705,4589.676470588235,12.28357411470588,2.4227941097058823,False,blogsandpersonal;business;informationtech - 
2017,32,0.09375,4489.15625,12.401261478124999,2.17451021625,False,blogsandpersonal;business;informationtech - 
2018,17,0.7058823529411765,5339.0,11.912332011764704,4.153163564705882,False,blogsandpersonal;business;informationtech - 
2019,18,1.5,7231.555555555556,12.581384766666666,6.704704722222223,False,blogsandpersonal;business;informationtech - 
