year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,2,0.0,3218.5,12.40955882,0.0,False,blogsandpersonal;education;entertainment - 
2001,5,2.4,4519.6,13.920336032,2.9580389,False,blogsandpersonal;education;entertainment - 
2002,5,2.4,5600.2,13.670397615999999,5.916077802,False,blogsandpersonal;education;entertainment - 
2003,4,0.0,3918.0,13.76396656,7.3950972525,False,blogsandpersonal;education;entertainment - 
2004,6,0.0,3363.1666666666665,11.999925803333333,4.9300648350000005,False,blogsandpersonal;education;entertainment - 
2005,2,10.0,9415.0,13.535424950000001,15.19588023,False,blogsandpersonal;education;entertainment - 
2006,6,6.666666666666667,6279.166666666667,12.229908523333334,9.934554143333333,False,blogsandpersonal;education;entertainment - 
2007,9,8.444444444444445,6760.888888888889,10.058555768888889,11.36908948888889,False,blogsandpersonal;education;entertainment - 
2008,14,6.0,6105.857142857143,9.987011635714286,7.308700385714286,False,blogsandpersonal;education;entertainment - 
2009,10,4.6,5153.5,10.003840229999998,7.4621957320000005,False,blogsandpersonal;education;entertainment - 
2010,26,3.269230769230769,5232.384615384615,11.372867515384614,7.052055988461538,False,blogsandpersonal;education;entertainment - 
2011,49,3.183673469387755,5700.428571428572,11.059389361224492,7.004834314285714,False,blogsandpersonal;education;entertainment - 
2012,58,3.810344827586207,6910.379310344828,11.984762856896552,7.624260008620689,False,blogsandpersonal;education;entertainment - 
2013,65,3.4153846153846152,6362.9384615384615,11.590227867692308,7.150638632307693,False,blogsandpersonal;education;entertainment - 
2014,72,3.1805555555555554,5809.222222222223,11.938269081944444,6.549143006944444,False,blogsandpersonal;education;entertainment - 
2015,92,2.9347826086956523,5760.565217391304,11.876273358695652,6.891398617391303,False,blogsandpersonal;education;entertainment - 
2016,105,3.5904761904761906,6252.542857142857,12.073778238095239,8.061073020952382,False,blogsandpersonal;education;entertainment - 
2017,90,3.488888888888889,6187.066666666667,12.031463011111112,7.79453399,False,blogsandpersonal;education;entertainment - 
2018,59,2.7796610169491527,6329.423728813559,11.400298220338984,7.925140627118643,False,blogsandpersonal;education;entertainment - 
2019,54,3.0185185185185186,7653.944444444444,11.138236518518518,9.307283557407409,False,blogsandpersonal;education;entertainment - 
