year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,2,0.0,3592.5,12.997360105,0.0,False,blogsandpersonal;entertainment;newsandmedia - 
2009,1,6.0,8803.0,14.22086615,16.36328637,False,blogsandpersonal;entertainment;newsandmedia - 
2010,1,6.0,8814.0,12.15102368,15.15756279,False,blogsandpersonal;entertainment;newsandmedia - 
2012,1,6.0,9056.0,12.17373721,15.02112968,False,blogsandpersonal;entertainment;newsandmedia - 
2013,3,2.0,5001.0,12.193677586666666,5.022260213333333,False,blogsandpersonal;entertainment;newsandmedia - 
2014,2,2.0,3710.0,12.729948675,0.0,False,blogsandpersonal;entertainment;newsandmedia - 
2015,7,2.142857142857143,6760.571428571428,13.683469407142857,6.747203310000001,False,blogsandpersonal;entertainment;newsandmedia - 
2016,6,1.6666666666666667,6738.333333333333,14.881020388333333,8.458585450000001,False,blogsandpersonal;entertainment;newsandmedia - 
2017,5,1.0,9066.2,13.302640768,8.932418176,False,blogsandpersonal;entertainment;newsandmedia - 
2018,2,0.0,25752.0,13.25394682,15.11225768,False,blogsandpersonal;entertainment;newsandmedia - 
2019,1,0.0,25752.0,13.25394682,15.11225768,False,blogsandpersonal;entertainment;newsandmedia - 
