year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,0.0,8927.0,13.00863636,,True,business;economyandfinance;newsandmedia
2005,3,0.0,7281.666667,12.84149231,15.28159752,True,business;economyandfinance;newsandmedia
2006,4,0.5,7963.25,13.29710247,15.53140553,True,business;economyandfinance;newsandmedia
2007,6,1.5,11917.16667,14.10536528,16.39396712,True,business;economyandfinance;newsandmedia
2008,6,1.6666666666666667,10421.5,13.00625789,16.49257779,True,business;economyandfinance;newsandmedia
2009,9,3.888888888888889,15988.0,14.26498695,16.72469371,True,business;economyandfinance;newsandmedia
2010,12,4.25,16737.58333,14.22341433,16.5993517,True,business;economyandfinance;newsandmedia
2011,12,3.9166666666666665,15926.833330000001,13.27589138,16.38078054,True,business;economyandfinance;newsandmedia
2012,15,1.2,12583.93333,13.9363483,16.78859553,True,business;economyandfinance;newsandmedia
2013,12,1.0,11851.58333,13.85457445,16.74929158,True,business;economyandfinance;newsandmedia
2014,15,1.7333333333333334,12844.0,13.60037485,16.28492286,True,business;economyandfinance;newsandmedia
2015,12,1.75,13930.083330000001,13.54208602,16.03476164,True,business;economyandfinance;newsandmedia
2016,12,2.5,15951.333330000001,13.45569712,15.83419947,True,business;economyandfinance;newsandmedia
2017,13,2.1538461538461537,14749.615380000001,14.00004868,17.10965318,True,business;economyandfinance;newsandmedia
2018,10,4.7,20034.9,14.16375749,16.46879913,True,business;economyandfinance;newsandmedia
2019,10,3.2,16407.6,13.24893671,16.27520687,True,business;economyandfinance;newsandmedia
