year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,4,1.75,5551.0,12.46004792,14.41090785,True,business;education;informationtech
2000,25,1.48,3395.16,11.72609705,14.16592009,True,business;education;informationtech
2001,59,1.8135593220338984,4422.457627000001,11.93293079,14.728450099999998,True,business;education;informationtech
2002,100,1.73,4441.52,12.00784497,14.516644,True,business;education;informationtech
2003,113,2.0088495575221237,4791.548672999999,12.33682419,14.66200856,True,business;education;informationtech
2004,171,1.8830409356725146,5316.070175,12.38219398,14.48068195,True,business;education;informationtech
2005,206,1.2718446601941749,5047.145631,12.28116217,14.30969968,True,business;education;informationtech
2006,286,1.0384615384615385,4952.867133,12.25850396,14.46268441,True,business;education;informationtech
2007,356,1.3679775280898876,5470.876404,12.32558141,14.69629498,True,business;education;informationtech
2008,421,1.2256532066508314,5551.135392,12.3607415,14.75355849,True,business;education;informationtech
2009,436,1.6055045871559632,5598.784404,12.48089688,14.81557673,True,business;education;informationtech
2010,598,1.5434782608695652,5527.006689,12.60040958,14.96129534,True,business;education;informationtech
2011,793,1.4085750315258512,5885.717528,12.67680365,15.07065028,True,business;education;informationtech
2012,927,1.5566343042071198,6338.288026,12.66424942,14.99274347,True,business;education;informationtech
2013,1102,1.7686025408348458,6541.3829399999995,12.75323062,15.06301156,True,business;education;informationtech
2014,1188,2.031144781144781,6637.138889,12.77109094,15.00750178,True,business;education;informationtech
2015,1324,2.2628398791540785,7296.960725,12.78214924,15.06072348,True,business;education;informationtech
2016,1393,2.799712849964106,9292.844221,12.851998199999999,15.10910144,True,business;education;informationtech
2017,1297,3.3839629915188896,10050.29221,12.93317298,15.177691699999999,True,business;education;informationtech
2018,1006,3.719681908548708,12030.21272,12.97464571,15.21210682,True,business;education;informationtech
2019,1166,3.4339622641509435,13460.110630000001,13.10650524,15.20278617,True,business;education;informationtech
