year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,3120.0,11.58563073,13.86744224,False,business;education;jobrelated - 
2000,5,0.0,3372.2,11.335623018,8.320465342,False,business;education;jobrelated - 
2001,6,0.6666666666666666,4342.666666666667,11.531753638333333,4.768483116666666,False,business;education;jobrelated - 
2002,8,1.0,4628.75,9.27657803,3.70909430375,False,business;education;jobrelated - 
2003,11,1.4545454545454546,4960.363636363636,10.167989581818183,6.3195401863636365,False,business;education;jobrelated - 
2004,16,2.625,4950.6875,12.122483237500001,6.016706605625,False,business;education;jobrelated - 
2005,21,1.2857142857142858,6353.238095238095,12.717208323809524,7.94334291904762,False,business;education;jobrelated - 
2006,26,2.3846153846153846,6853.153846153846,12.408730426923078,9.083386515384616,False,business;education;jobrelated - 
2007,35,2.657142857142857,6953.857142857143,12.694871017142859,8.04732548,False,business;education;jobrelated - 
2008,38,3.026315789473684,7811.026315789473,12.544800092105262,9.099515236842105,False,business;education;jobrelated - 
2009,33,2.757575757575758,7752.787878787879,12.306544772727273,9.39415178181818,False,business;education;jobrelated - 
2010,37,3.081081081081081,8510.054054054053,12.307349175675677,10.968026002702704,False,business;education;jobrelated - 
2011,45,2.688888888888889,9060.31111111111,12.417710353333334,11.312191535555558,False,business;education;jobrelated - 
2012,61,2.819672131147541,8860.22950819672,12.461273483606558,10.993843693442622,False,business;education;jobrelated - 
2013,63,2.4603174603174605,8733.650793650793,12.220492658730159,9.637370279365081,False,business;education;jobrelated - 
2014,69,2.4057971014492754,9455.550724637682,12.186110117391305,9.487114747826087,False,business;education;jobrelated - 
2015,76,2.0921052631578947,9100.815789473685,12.20247547368421,9.061561953947368,False,business;education;jobrelated - 
2016,81,1.9753086419753085,8918.765432098766,12.193865941975307,9.727841279012345,False,business;education;jobrelated - 
2017,73,1.6027397260273972,8951.657534246575,12.04081259178082,9.834757765753423,False,business;education;jobrelated - 
2018,63,1.3968253968253967,11470.301587301587,12.318774142857142,11.545597922222223,False,business;education;jobrelated - 
2019,66,2.3333333333333335,14006.560606060606,12.550544142424242,12.048600127272728,False,business;education;jobrelated - 
