year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,3120.0,11.58563073,13.86744224,True,business;education;jobrelated
2000,5,0.0,3372.2,11.33562302,13.86744224,True,business;education;jobrelated
2001,6,0.6666666666666666,4342.666667,11.53175364,14.30544935,True,business;education;jobrelated
2002,8,1.0,4628.75,12.36877071,14.83637721,True,business;education;jobrelated
2003,11,1.4545454545454546,4960.363636,12.42754283,13.90298841,True,business;education;jobrelated
2004,16,2.625,4950.6875,12.12248324,13.75247224,True,business;education;jobrelated
2005,21,1.2857142857142858,6353.238095000001,12.71720832,15.16456376,True,business;education;jobrelated
2006,26,2.3846153846153846,6853.153845999999,12.40873043,14.76050309,True,business;education;jobrelated
2007,35,2.657142857142857,6953.857143000001,13.06824958,14.82402062,True,business;education;jobrelated
2008,38,3.026315789473684,7811.0263159999995,13.24173343,15.03398169,True,business;education;jobrelated
2009,33,2.757575757575758,7752.787879,13.1005154,14.76223851,True,business;education;jobrelated
2010,37,3.081081081081081,8510.054054,13.01062627,15.03025785,True,business;education;jobrelated
2011,45,2.688888888888889,9060.311110999999,12.99527828,14.97201821,True,business;education;jobrelated
2012,61,2.819672131147541,8860.229508,12.88368953,14.902765900000002,True,business;education;jobrelated
2013,63,2.4603174603174605,8733.650794,12.62116455,14.80864214,True,business;education;jobrelated
2014,69,2.4057971014492754,9455.550725,12.74002421,14.87752086,True,business;education;jobrelated
2015,76,2.0921052631578947,9100.815789,12.88039078,14.97127627,True,business;education;jobrelated
2016,81,1.9753086419753085,8918.765432,12.82731352,15.15298353,True,business;education;jobrelated
2017,73,1.6027397260273972,8951.657534,12.55684742,14.65178198,True,business;education;jobrelated
2018,63,1.3968253968253967,11470.301590000001,12.72266838,15.15359727,True,business;education;jobrelated
2019,66,2.3333333333333335,14006.560609999999,12.94274865,15.00391714,True,business;education;jobrelated
