year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,1,12.0,7858.0,10.19236647,12.573866699999998,True,business;entertainment;sports
1999,1,12.0,7858.0,10.19236647,12.573866699999998,True,business;entertainment;sports
2000,6,10.166666666666666,7751.0,10.56233536,12.68346468,True,business;entertainment;sports
2001,13,6.384615384615385,7405.692308,12.17939917,14.71430041,True,business;entertainment;sports
2002,21,8.095238095238095,9978.190476,13.03910041,15.58008734,True,business;entertainment;sports
2003,33,7.909090909090909,10473.060609999999,13.30139556,15.56935535,True,business;entertainment;sports
2004,31,4.838709677419355,8952.612903,13.91758168,15.90484165,True,business;entertainment;sports
2005,34,4.5588235294117645,10054.76471,13.43880998,15.50682474,True,business;entertainment;sports
2006,40,7.675,14938.075,13.58651134,15.72142475,True,business;entertainment;sports
2007,45,7.688888888888889,15889.177780000002,13.61182668,15.84009737,True,business;entertainment;sports
2008,47,7.76595744680851,14874.48936,13.74966995,15.54197723,True,business;entertainment;sports
2009,48,8.291666666666666,15938.5,13.71338206,15.6212337,True,business;entertainment;sports
2010,65,8.076923076923077,15100.75385,13.77470401,15.744943300000003,True,business;entertainment;sports
2011,73,9.123287671232877,15728.424659999999,13.75635538,15.780787099999998,True,business;entertainment;sports
2012,100,8.28,15495.19,13.61250783,15.68859763,True,business;entertainment;sports
2013,117,8.367521367521368,15493.53846,13.99100141,15.90028034,True,business;entertainment;sports
2014,124,8.580645161290322,15522.6129,13.92040246,15.82121076,True,business;entertainment;sports
2015,130,8.73076923076923,16340.4,13.79179369,15.61472291,True,business;entertainment;sports
2016,118,9.228813559322035,17365.18644,13.84238722,15.64353162,True,business;entertainment;sports
2017,114,10.271929824561404,18461.657890000002,13.79504068,15.68141841,True,business;entertainment;sports
2018,96,8.875,19150.11458,13.51178083,15.56766143,True,business;entertainment;sports
2019,95,10.021052631578947,21801.747369999997,13.56086029,15.70731884,True,business;entertainment;sports
