year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,1,0.0,5964.0,15.15791991,16.19785254,True,business;entertainment;weapons
2008,1,0.0,5962.0,15.151080300000002,16.19785254,True,business;entertainment;weapons
2009,2,0.0,5962.0,15.151080300000002,16.19785254,True,business;entertainment;weapons
2010,2,0.0,5894.0,14.66337092,15.73171695,True,business;entertainment;weapons
2011,2,0.0,5894.0,14.66337092,15.73171695,True,business;entertainment;weapons
2012,2,0.0,6306.0,15.04456174,16.12919727,True,business;entertainment;weapons
2013,2,0.0,6699.0,15.41992248,16.52667758,True,business;entertainment;weapons
2014,2,0.0,6657.0,15.36975204,16.44516993,True,business;entertainment;weapons
2015,2,0.0,6615.5,15.14178295,16.34257615,True,business;entertainment;weapons
2016,2,0.0,6570.0,14.92686589,16.28082958,True,business;entertainment;weapons
2017,2,0.0,7533.5,15.45503665,16.48446479,True,business;entertainment;weapons
2018,2,6.0,25980.0,19.31286305,17.91617709,True,business;entertainment;weapons
2019,2,6.0,25906.0,18.72930742,18.34513855,True,business;entertainment;weapons
