year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2005,1,0.0,2739.0,12.92542669,0.0,False,business;gambling;games - 
2006,1,0.0,2739.0,12.92542669,0.0,False,business;gambling;games - 
2007,1,0.0,2761.0,12.63999115,0.0,False,business;gambling;games - 
2008,2,0.0,2761.5,12.896505445,0.0,False,business;gambling;games - 
2009,2,10.0,21412.5,12.838938925,13.29373889,False,business;gambling;games - 
2010,9,0.5555555555555556,4521.222222222223,13.350593933333336,8.192570244444445,False,business;gambling;games - 
2011,14,0.7142857142857143,6654.642857142857,13.0999285,12.033817285714287,False,business;gambling;games - 
2012,17,1.0588235294117647,6381.470588235294,13.246368011764705,10.87614301764706,False,business;gambling;games - 
2013,16,1.5,8148.875,13.19099136875,12.63214485,False,business;gambling;games - 
2014,15,1.5333333333333334,7612.466666666666,13.247454073333333,11.368047586666668,False,business;gambling;games - 
2015,16,2.125,7301.625,13.340983231249998,11.796407199999999,False,business;gambling;games - 
2016,19,1.8421052631578947,6894.578947368421,13.52492329473684,9.428267863157895,False,business;gambling;games - 
2017,12,1.4166666666666667,9403.75,14.010499641666668,12.491038216666666,False,business;gambling;games - 
2018,9,1.3333333333333333,15884.111111111111,13.67086892222222,14.370001177777775,False,business;gambling;games - 
2019,5,1.6,21715.8,12.754260689999999,15.581430768,False,business;gambling;games - 
