year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2005,1,0.0,2739.0,12.92542669,,True,business;gambling;games
2006,1,0.0,2739.0,12.92542669,,True,business;gambling;games
2007,1,0.0,2761.0,12.63999115,,True,business;gambling;games
2008,2,0.0,2761.5,12.89650544,,True,business;gambling;games
2009,2,10.0,21412.5,12.83893892,13.29373889,True,business;gambling;games
2010,9,0.5555555555555556,4521.222222,13.35059394,14.74662644,True,business;gambling;games
2011,14,0.7142857142857143,6654.642857,13.0999285,15.31576745,True,business;gambling;games
2012,17,1.0588235294117647,6381.470588,13.24636801,15.40786928,True,business;gambling;games
2013,16,1.5,8148.875,13.19099137,15.5472552,True,business;gambling;games
2014,15,1.5333333333333334,7612.466667000001,13.24745408,15.50188307,True,business;gambling;games
2015,16,2.125,7301.625,13.34098323,15.72854294,True,business;gambling;games
2016,19,1.8421052631578947,6894.578947,13.52492329,16.28518995,True,business;gambling;games
2017,12,1.4166666666666667,9403.75,14.01049964,16.65471762,True,business;gambling;games
2018,9,1.3333333333333333,15884.11111,13.67086892,16.16625133,True,business;gambling;games
2019,5,1.6,21715.8,12.75426069,15.58143077,True,business;gambling;games
