year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,2,3.0,4711.0,10.088955455,13.241360185,False,business;games;shopping - 
2008,2,3.0,4711.0,10.088955455,13.241360185,False,business;games;shopping - 
2009,1,3.0,4711.0,10.08895545,13.24136018,False,business;games;shopping - 
2010,2,3.0,4750.0,11.347493795,14.117786865,False,business;games;shopping - 
2011,2,3.0,4750.0,11.347493795,14.117786865,False,business;games;shopping - 
2012,2,7.0,10647.0,14.84160276,17.505862850000003,False,business;games;shopping - 
2013,2,7.0,10647.0,14.84160276,17.505862850000003,False,business;games;shopping - 
2014,3,4.666666666666667,8541.666666666666,13.765696876666667,11.64531956666667,False,business;games;shopping - 
2015,3,5.333333333333333,11245.333333333334,13.515642293333334,10.93621514,False,business;games;shopping - 
2016,2,9.0,12325.5,12.544224555,15.383438250000001,False,business;games;shopping - 
2017,2,10.0,10680.0,10.442685515,13.410264695,False,business;games;shopping - 
2018,2,18.0,25327.0,14.49453569,15.98806761,False,business;games;shopping - 
2019,3,12.0,18079.0,15.624688893333333,10.65871174,False,business;games;shopping - 
