year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2003,3,0.0,3225.0,13.24401551,,True,business;health;shopping
2004,4,0.0,3142.75,13.36425833,,True,business;health;shopping
2005,4,0.0,3152.5,13.36425833,,True,business;health;shopping
2006,5,0.8,3240.6,12.40399197,,True,business;health;shopping
2007,6,2.6666666666666665,3243.166667,11.94680229,11.72989834,True,business;health;shopping
2008,6,2.3333333333333335,3636.833333,12.35648232,14.26529262,True,business;health;shopping
2009,6,4.333333333333333,4781.833333,12.43171975,14.29771301,True,business;health;shopping
2010,10,2.9,5761.9,12.85556004,14.47123276,True,business;health;shopping
2011,14,5.642857142857143,11897.42857,13.12497772,15.3812867,True,business;health;shopping
2012,14,4.0,8931.071429000001,12.63395779,14.76525593,True,business;health;shopping
2013,17,3.7058823529411766,11607.29412,13.11857043,15.82301293,True,business;health;shopping
2014,17,5.0,12890.94118,13.66178732,16.42431057,True,business;health;shopping
2015,22,3.8181818181818183,10628.31818,13.61050888,15.82938154,True,business;health;shopping
2016,16,3.375,10572.875,13.47612905,15.48247053,True,business;health;shopping
2017,16,3.375,11072.6875,13.55227073,15.82600424,True,business;health;shopping
2018,7,2.2857142857142856,12192.28571,14.04966053,15.53975136,True,business;health;shopping
2019,10,2.4,12331.0,13.198933199999999,15.27579738,True,business;health;shopping
