year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2005,5,2.4,6523.0,13.14329713,14.90521847,True,business;informationtech;mediasharing
2006,13,1.0769230769230769,5594.076923,13.63078478,15.20926209,True,business;informationtech;mediasharing
2007,23,0.17391304347826086,5351.0,13.39302341,14.98778348,True,business;informationtech;mediasharing
2008,22,0.6363636363636364,4975.4090909999995,13.21415791,15.23261975,True,business;informationtech;mediasharing
2009,18,1.0555555555555556,5851.055556,13.03688843,14.64753569,True,business;informationtech;mediasharing
2010,27,2.259259259259259,6689.629629999999,12.4963102,14.26720884,True,business;informationtech;mediasharing
2011,45,3.3777777777777778,7230.288889,12.78452366,15.02337376,True,business;informationtech;mediasharing
2012,46,3.5652173913043477,8277.891304,13.80454326,15.96559416,True,business;informationtech;mediasharing
2013,61,2.5081967213114753,7774.459016,13.43054591,16.02556134,True,business;informationtech;mediasharing
2014,78,2.0,8324.474359,13.41560958,15.82210311,True,business;informationtech;mediasharing
2015,84,2.0476190476190474,6857.6190480000005,13.31714629,15.59692194,True,business;informationtech;mediasharing
2016,86,1.4069767441860466,6684.430233,13.27826782,15.48465872,True,business;informationtech;mediasharing
2017,76,2.3684210526315788,6381.657895,13.26919089,15.67014616,True,business;informationtech;mediasharing
2018,58,4.137931034482759,11390.017240000001,12.8565984,14.94339069,True,business;informationtech;mediasharing
2019,63,3.0952380952380953,9528.746032,12.812895,14.93890633,True,business;informationtech;mediasharing
