year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,3.0,7715.0,15.57000417,16.72815622,False,business;newsandmedia;sports - 
2002,2,3.0,8307.0,15.440513105,16.70812811,False,business;newsandmedia;sports - 
2003,2,3.0,7715.0,15.57000417,16.728156215,False,business;newsandmedia;sports - 
2004,2,3.0,7715.0,15.57000417,16.728156215,False,business;newsandmedia;sports - 
2005,3,6.0,12778.666666666666,15.028339383333334,16.77666169,False,business;newsandmedia;sports - 
2006,2,8.0,21364.0,13.422503915,15.9605829,False,business;newsandmedia;sports - 
2007,2,8.0,21284.0,13.0249215,15.57972269,False,business;newsandmedia;sports - 
2008,5,4.4,13484.6,14.479034324,16.399176154,False,business;newsandmedia;sports - 
2009,5,4.0,13516.4,14.927777324,16.797575742,False,business;newsandmedia;sports - 
2010,6,6.0,16659.0,14.500761315,16.546522035,False,business;newsandmedia;sports - 
2011,8,11.625,16979.75,13.383473624999999,15.801031437499999,False,business;newsandmedia;sports - 
2012,9,9.555555555555555,14001.777777777777,13.399638666666668,15.834065733333334,False,business;newsandmedia;sports - 
2013,8,10.75,14862.0,13.620205737500001,16.061031487500003,False,business;newsandmedia;sports - 
2014,12,7.166666666666667,13986.416666666666,13.546443758333332,14.483499358333335,False,business;newsandmedia;sports - 
2015,13,4.923076923076923,14208.923076923076,13.3639923,14.361172776923077,False,business;newsandmedia;sports - 
2016,11,4.0,14142.0,12.594943736363637,13.671433627272728,False,business;newsandmedia;sports - 
2017,12,4.5,15722.333333333334,13.61231775,12.076844133333331,False,business;newsandmedia;sports - 
2018,10,3.2,20120.2,13.90457173,16.34844558,False,business;newsandmedia;sports - 
2019,7,9.142857142857142,22267.428571428572,13.965354537142858,15.926378228571428,False,business;newsandmedia;sports - 
