year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2005,2,0.0,3087.5,14.37942425,,True,education;entertainment;mediasharing
2006,4,0.0,4513.5,13.89596828,16.07238961,True,education;entertainment;mediasharing
2007,5,0.0,4069.0,13.75851999,16.07238961,True,education;entertainment;mediasharing
2008,6,0.0,3198.166667,13.89596828,16.07238961,True,education;entertainment;mediasharing
2009,4,0.0,3886.5,13.73481629,16.07238961,True,education;entertainment;mediasharing
2010,8,0.0,3777.5,12.49190061,15.59806359,True,education;entertainment;mediasharing
2011,4,0.0,4808.75,13.18847498,15.36090058,True,education;entertainment;mediasharing
2012,10,0.0,4017.4,13.33343375,15.94274687,True,education;entertainment;mediasharing
2013,8,0.0,4080.875,13.59223657,16.10031502,True,education;entertainment;mediasharing
2014,9,0.0,4807.555556,13.39588964,16.14564345,True,education;entertainment;mediasharing
2015,12,0.16666666666666666,3521.083333,13.191887900000001,15.66741444,True,education;entertainment;mediasharing
2016,11,0.0,4010.9090909999995,13.15856419,15.89970925,True,education;entertainment;mediasharing
2017,10,0.2,4663.5,13.11093503,15.16246301,True,education;entertainment;mediasharing
2018,9,1.1111111111111112,6881.888889,12.92115572,15.00629126,True,education;entertainment;mediasharing
2019,10,0.2,3364.0,12.17228506,14.62297794,True,education;entertainment;mediasharing
