year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,4,4.25,4307.75,14.15214035,14.74345646,True,education;entertainment;newsandmedia
2000,40,5.25,6715.9,13.49894606,14.96123984,True,education;entertainment;newsandmedia
2001,65,4.092307692307692,9372.569231,13.89489066,15.79269708,True,education;entertainment;newsandmedia
2002,87,4.563218390804598,8524.655172,12.87395514,14.98499007,True,education;entertainment;newsandmedia
2003,72,5.680555555555555,7799.319444,12.30464196,14.30009102,True,education;entertainment;newsandmedia
2004,102,6.4411764705882355,8685.313725,12.4593957,14.38537001,True,education;entertainment;newsandmedia
2005,99,4.818181818181818,8109.383838,12.91331269,14.98779622,True,education;entertainment;newsandmedia
2006,134,5.365671641791045,8108.634328,12.95064672,15.1122161,True,education;entertainment;newsandmedia
2007,169,4.93491124260355,8609.366864,13.15056608,15.19072518,True,education;entertainment;newsandmedia
2008,170,5.041176470588235,9079.664706,13.53484793,15.63023427,True,education;entertainment;newsandmedia
2009,228,5.565789473684211,9955.460526,13.80575539,15.91937952,True,education;entertainment;newsandmedia
2010,294,5.275510204081633,9947.173469,13.76134074,15.90163969,True,education;entertainment;newsandmedia
2011,360,5.288888888888889,9621.925,13.36286383,15.66677999,True,education;entertainment;newsandmedia
2012,382,5.12565445026178,10100.502620000001,13.44492366,15.56887966,True,education;entertainment;newsandmedia
2013,391,4.739130434782608,10260.63939,13.40147054,15.56026453,True,education;entertainment;newsandmedia
2014,451,4.580931263858093,10662.79601,13.39585492,15.51358475,True,education;entertainment;newsandmedia
2015,520,4.369230769230769,10885.93654,13.34620441,15.53647083,True,education;entertainment;newsandmedia
2016,582,4.518900343642612,12305.03436,13.30919125,15.52724755,True,education;entertainment;newsandmedia
2017,590,4.783050847457627,13748.0678,13.42057505,15.57457552,True,education;entertainment;newsandmedia
2018,476,4.888655462184874,14660.819330000002,13.53850234,15.46919319,True,education;entertainment;newsandmedia
2019,496,5.024193548387097,14969.935480000002,13.33751177,15.21088618,True,education;entertainment;newsandmedia
