year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,3.0,5528.0,,,True,education;entertainment;sports
2002,5,6.2,7012.0,11.86384203,15.73171695,True,education;entertainment;sports
2003,5,2.8,3684.0,12.62818156,,True,education;entertainment;sports
2004,5,0.0,3630.0,12.22264779,14.69652958,True,education;entertainment;sports
2005,6,3.0,6849.333333,12.44283865,14.75320182,True,education;entertainment;sports
2006,11,3.272727272727273,7317.5454549999995,13.16646006,15.80961939,True,education;entertainment;sports
2007,13,3.230769230769231,8411.153846,12.51908069,14.77869915,True,education;entertainment;sports
2008,16,5.875,8799.625,13.24162174,15.343218799999999,True,education;entertainment;sports
2009,9,6.888888888888889,7689.666667,13.02991741,15.54238605,True,education;entertainment;sports
2010,14,8.214285714285714,8954.928570999999,14.01718749,16.32211505,True,education;entertainment;sports
2011,22,4.863636363636363,7997.0454549999995,13.64982785,15.57525446,True,education;entertainment;sports
2012,27,6.185185185185185,9534.518519,13.70863138,15.16686685,True,education;entertainment;sports
2013,27,6.37037037037037,9469.555556,13.65361639,15.12256043,True,education;entertainment;sports
2014,27,5.851851851851852,10559.88889,13.81005606,15.08659073,True,education;entertainment;sports
2015,27,5.851851851851852,10886.66667,13.80752249,14.935256400000002,True,education;entertainment;sports
2016,30,5.433333333333334,12150.1,13.73177758,15.91997088,True,education;entertainment;sports
2017,28,6.535714285714286,17861.89286,13.62090858,16.45693496,True,education;entertainment;sports
2018,23,7.478260869565218,22296.3913,14.01166842,17.49604025,True,education;entertainment;sports
2019,24,8.375,21544.125,13.99709324,17.1861466,True,education;entertainment;sports
