year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,1,7.0,3577.0,14.35247214,,True,education;health;shopping
1999,1,7.0,3518.0,14.35247214,,True,education;health;shopping
2000,1,9.0,6089.0,13.328285999999999,,True,education;health;shopping
2001,2,9.0,6781.0,13.91047612,16.44523258,True,education;health;shopping
2002,3,5.666666666666667,4862.0,13.40405809,16.2166501,True,education;health;shopping
2003,2,8.0,6231.0,13.74150805,15.98806761,True,education;health;shopping
2004,3,7.333333333333333,5429.666667,12.08522741,15.81658381,True,education;health;shopping
2005,3,6.666666666666667,4268.0,10.70356896,15.98806761,True,education;health;shopping
2006,6,7.0,6777.333333,12.49954315,16.29784903,True,education;health;shopping
2007,7,4.285714285714286,6048.428571,13.29817144,15.60979049,True,education;health;shopping
2008,14,4.214285714285714,8743.928570999999,13.79424322,15.94168497,True,education;health;shopping
2009,14,4.285714285714286,8733.214286,13.68204961,16.20939712,True,education;health;shopping
2010,16,3.5,7405.1875,13.69155574,16.06259132,True,education;health;shopping
2011,19,4.052631578947368,7620.842105,13.954808300000002,16.63814794,True,education;health;shopping
2012,29,4.0344827586206895,7950.586206999999,13.07622691,15.66020223,True,education;health;shopping
2013,32,2.6875,8727.3125,13.14518797,15.76676718,True,education;health;shopping
2014,37,3.324324324324324,9077.648648999999,13.2714951,15.56994695,True,education;health;shopping
2015,30,3.1666666666666665,10073.43333,13.51205941,15.84758611,True,education;health;shopping
2016,35,3.4285714285714284,10411.6,13.25080787,15.37808744,True,education;health;shopping
2017,24,4.0,11908.79167,12.93737571,15.378534400000001,True,education;health;shopping
2018,17,5.176470588235294,12222.23529,12.44628078,14.69106649,True,education;health;shopping
2019,16,8.375,15731.5,12.71414863,14.90768886,True,education;health;shopping
