year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2002,2,0.0,1478.0,10.99818376,,True,education;informationtech;messageboardsandforums
2003,2,0.0,1474.0,10.91581197,,True,education;informationtech;messageboardsandforums
2006,3,0.6666666666666666,5711.666667,10.06631368,11.66642294,True,education;informationtech;messageboardsandforums
2007,2,0.0,3851.0,9.979656566000001,,True,education;informationtech;messageboardsandforums
2008,2,0.0,3858.0,9.979656566000001,,True,education;informationtech;messageboardsandforums
2009,3,3.0,4090.666667,10.79468793,14.36255379,True,education;informationtech;messageboardsandforums
2010,3,0.0,3319.0,11.34982304,,True,education;informationtech;messageboardsandforums
2012,3,4.666666666666667,9781.0,14.17548032,15.45302553,True,education;informationtech;messageboardsandforums
2013,10,2.4,5616.1,12.26777717,15.48875042,True,education;informationtech;messageboardsandforums
2014,15,3.4,4810.066667,11.87912597,15.31460511,True,education;informationtech;messageboardsandforums
2015,16,3.6875,3607.625,12.0345844,15.81661713,True,education;informationtech;messageboardsandforums
2016,15,3.8,4067.6,11.99812392,13.50681897,True,education;informationtech;messageboardsandforums
2017,10,3.7,4847.2,11.86293745,13.50681897,True,education;informationtech;messageboardsandforums
2018,6,3.6666666666666665,6835.166667,12.15138651,13.50681897,True,education;informationtech;messageboardsandforums
2019,7,5.428571428571429,9567.857143000001,12.52080569,14.82466909,True,education;informationtech;messageboardsandforums
