year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,0.0,1916.0,6.983068362000001,,True,education;informationtech;shopping
2002,2,0.0,1966.0,7.260796964,,True,education;informationtech;shopping
2003,3,0.0,1588.666667,7.260796964,,True,education;informationtech;shopping
2004,3,0.0,1586.333333,7.260796964,,True,education;informationtech;shopping
2005,3,0.0,1456.333333,7.260796964,,True,education;informationtech;shopping
2006,4,0.0,1428.0,7.260796964,,True,education;informationtech;shopping
2007,4,0.0,1428.0,7.260796964,,True,education;informationtech;shopping
2008,3,0.0,1245.333333,7.260796964,,True,education;informationtech;shopping
2009,4,0.0,1596.75,9.028947264,,True,education;informationtech;shopping
2010,5,0.0,1461.4,9.028947264,,True,education;informationtech;shopping
2011,6,0.0,1473.666667,9.913022414,,True,education;informationtech;shopping
2012,6,0.0,1470.166667,9.913022414,,True,education;informationtech;shopping
2013,4,0.0,1217.0,12.56524786,,True,education;informationtech;shopping
2014,3,0.0,1325.0,12.56524786,,True,education;informationtech;shopping
2015,4,0.0,6235.0,12.44430874,14.55459255,True,education;informationtech;shopping
2016,5,0.0,5399.8,12.76378699,14.55459255,True,education;informationtech;shopping
2017,5,0.0,5407.8,12.76378699,14.55459255,True,education;informationtech;shopping
2018,2,0.0,894.0,,,True,education;informationtech;shopping
2019,2,0.0,894.0,,,True,education;informationtech;shopping
