year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2002,2,2.0,9142.0,14.20749386,14.7901945,True,education;newsandmedia;shopping
2003,2,2.0,9258.0,14.13453585,14.83674596,True,education;newsandmedia;shopping
2004,1,2.0,9124.0,14.30518005,14.7901945,True,education;newsandmedia;shopping
2006,1,2.0,9030.0,13.78595632,14.69652958,True,education;newsandmedia;shopping
2007,1,2.0,8943.0,14.30518005,14.7901945,True,education;newsandmedia;shopping
2008,2,2.0,8943.0,14.30518005,14.7901945,True,education;newsandmedia;shopping
2009,2,2.0,8943.0,14.30518005,14.7901945,True,education;newsandmedia;shopping
2010,2,2.0,9085.5,14.30518005,14.7901945,True,education;newsandmedia;shopping
2011,2,2.0,9126.0,14.34967648,14.90566209,True,education;newsandmedia;shopping
2012,2,3.5,8221.5,14.2443704,15.01796106,True,education;newsandmedia;shopping
2013,3,3.0,8617.666667,14.27846781,14.91152594,True,education;newsandmedia;shopping
2014,2,2.0,9331.5,14.0867853,14.55300512,True,education;newsandmedia;shopping
2015,2,2.0,9276.0,14.30262657,14.83674596,True,education;newsandmedia;shopping
2016,3,11.333333333333334,53204.66667,13.76140952,14.75250226,True,education;newsandmedia;shopping
2017,3,12.333333333333334,68054.33333,14.32226819,15.43848844,True,education;newsandmedia;shopping
2019,1,5.0,22154.0,16.45948844,16.60763045,True,education;newsandmedia;shopping
