year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2008,3,3.6666666666666665,6230.0,14.29159178,16.78730909,True,education;shopping;travel
2009,4,6.5,3085.75,12.38474212,13.81666965,True,education;shopping;travel
2010,7,5.142857142857143,3867.857143,12.54069598,14.21634208,True,education;shopping;travel
2011,7,2.4285714285714284,2715.428571,11.52288322,,True,education;shopping;travel
2012,7,2.0,3167.571429,11.92500441,13.66288365,True,education;shopping;travel
2013,7,1.8571428571428572,4288.428571,11.41447054,14.61748163,True,education;shopping;travel
2014,11,1.6363636363636365,6604.818182,13.00145955,15.21515381,True,education;shopping;travel
2015,12,2.6666666666666665,11756.91667,13.63010591,15.22648188,True,education;shopping;travel
2016,14,4.714285714285714,13014.0,13.67685368,15.49859664,True,education;shopping;travel
2017,15,3.933333333333333,13833.933330000002,13.70985489,15.51551421,True,education;shopping;travel
2018,10,5.2,11833.4,14.19044225,16.22443597,True,education;shopping;travel
2019,11,4.0,13275.363640000001,13.54152943,15.80459833,True,education;shopping;travel
