year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2006,1,0.0,3570.0,10.02913869,,True,education;streamingmedia;travel
2007,2,0.0,3570.0,10.02913869,,True,education;streamingmedia;travel
2008,2,0.0,3570.0,10.02913869,,True,education;streamingmedia;travel
2009,1,0.0,3603.0,9.737259928,,True,education;streamingmedia;travel
2010,1,0.0,3608.0,9.737259928,,True,education;streamingmedia;travel
2011,2,0.0,6480.0,11.007499099999999,15.47004243,True,education;streamingmedia;travel
2012,2,0.0,3809.0,13.48451593,,True,education;streamingmedia;travel
2017,1,0.0,7027.0,17.085079399999998,,True,education;streamingmedia;travel
2018,2,0.0,16629.0,18.06043703,18.80882812,True,education;streamingmedia;travel
2019,1,9.0,6688.0,12.3009026,15.02112968,True,education;streamingmedia;travel
