year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,0.0,2872.0,9.668323846,,True,entertainment;games;newsandmedia
2001,2,0.0,2872.5,9.668323846,,True,entertainment;games;newsandmedia
2002,4,5.0,4693.5,10.69865345,13.86732277,True,entertainment;games;newsandmedia
2003,4,5.0,4983.5,11.06023293,13.86744224,True,entertainment;games;newsandmedia
2004,4,5.0,4967.5,11.11023333,13.89270906,True,entertainment;games;newsandmedia
2005,2,0.0,3122.0,10.30822072,,True,entertainment;games;newsandmedia
2006,7,2.857142857142857,4690.142857,12.56499379,14.11756489,True,entertainment;games;newsandmedia
2007,11,2.0,5422.0,12.69447341,14.36048934,True,entertainment;games;newsandmedia
2008,15,2.7333333333333334,6486.866667,12.96554093,14.82350483,True,entertainment;games;newsandmedia
2009,10,3.8,7422.9,12.81575737,14.824232,True,entertainment;games;newsandmedia
2010,18,2.611111111111111,6574.777778,12.75137091,14.96442754,True,entertainment;games;newsandmedia
2011,21,3.9523809523809526,8413.809524,13.223966899999999,15.53185218,True,entertainment;games;newsandmedia
2012,25,3.28,6991.36,13.13956249,15.16805646,True,entertainment;games;newsandmedia
2013,22,3.1818181818181817,7821.227273,13.13970403,15.23505942,True,entertainment;games;newsandmedia
2014,32,2.46875,6615.6875,12.39972588,14.92913305,True,entertainment;games;newsandmedia
2015,34,2.5,6614.588235,12.30478239,14.74758129,True,entertainment;games;newsandmedia
2016,36,3.2777777777777777,7336.611111,12.32125639,14.78033841,True,entertainment;games;newsandmedia
2017,31,3.3225806451612905,7092.612903,12.26155981,15.11173606,True,entertainment;games;newsandmedia
2018,29,2.586206896551724,8186.758620999999,12.29378379,15.04632985,True,entertainment;games;newsandmedia
2019,23,3.347826086956522,8440.913043,12.07286747,14.37511205,True,entertainment;games;newsandmedia
