year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,2,22.0,3882.0,9.013333335,0.0,False,entertainment;games;streamingmedia - 
2002,2,13.5,4655.5,8.29955128,0.0,False,entertainment;games;streamingmedia - 
2003,2,14.5,5373.5,8.757312955,0.0,False,entertainment;games;streamingmedia - 
2004,2,16.0,6120.5,9.19684869,0.0,False,entertainment;games;streamingmedia - 
2008,1,21.0,6449.0,9.110952381,0.0,False,entertainment;games;streamingmedia - 
2009,2,21.0,6449.0,9.11095238,0.0,False,entertainment;games;streamingmedia - 
2011,4,14.0,5108.0,11.55499601,0.0,False,entertainment;games;streamingmedia - 
2012,5,14.2,6848.6,12.298179833999999,3.2060595,False,entertainment;games;streamingmedia - 
2013,4,14.0,10427.75,13.3691496325,8.03041731,False,entertainment;games;streamingmedia - 
2014,3,10.0,14578.0,14.967102833333334,10.96144068,False,entertainment;games;streamingmedia - 
2015,6,7.5,11703.0,14.427349906666668,8.078082911666668,False,entertainment;games;streamingmedia - 
2016,6,15.5,11359.833333333334,14.268487701666666,10.346152965,False,entertainment;games;streamingmedia - 
2017,2,32.0,10891.0,13.993683350000001,14.67277823,False,entertainment;games;streamingmedia - 
2018,2,41.0,12007.5,13.50406872,15.040279235,False,entertainment;games;streamingmedia - 
2019,2,50.0,13283.0,13.017228355,15.337102005,False,entertainment;games;streamingmedia - 
