year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2010,2,0.0,1654.5,11.62865591,,True,entertainment;mediasharing;sports
2011,2,0.0,1665.0,11.62865591,,True,entertainment;mediasharing;sports
2012,2,0.0,1654.5,11.62865591,,True,entertainment;mediasharing;sports
2013,2,0.0,1644.0,11.62865591,,True,entertainment;mediasharing;sports
2014,2,0.0,1644.0,11.62865591,,True,entertainment;mediasharing;sports
2015,2,0.0,1644.0,11.62865591,,True,entertainment;mediasharing;sports
2016,2,0.0,1634.5,11.62865591,,True,entertainment;mediasharing;sports
2017,2,0.0,1644.0,11.62865591,,True,entertainment;mediasharing;sports
2018,2,0.0,1644.0,11.62865591,,True,entertainment;mediasharing;sports
2019,1,0.0,1644.0,11.62865591,,True,entertainment;mediasharing;sports
