year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2004,2,0.0,3476.0,12.448977675,0.0,False,entertainment;newsandmedia;shopping - 
2005,2,0.0,3476.0,12.448977675,0.0,False,entertainment;newsandmedia;shopping - 
2006,2,0.0,3457.0,12.448977675,0.0,False,entertainment;newsandmedia;shopping - 
2007,3,0.0,3316.6666666666665,8.297453676666667,0.0,False,entertainment;newsandmedia;shopping - 
2008,6,0.6666666666666666,4556.333333333333,10.660444901666667,7.568760506666667,False,entertainment;newsandmedia;shopping - 
2009,3,0.0,6028.666666666667,12.439298826666667,9.844174866666668,False,entertainment;newsandmedia;shopping - 
2010,5,0.4,8216.0,13.04836063,14.897978996,False,entertainment;newsandmedia;shopping - 
2011,6,0.6666666666666666,8035.5,12.69196753,14.718194908333333,False,entertainment;newsandmedia;shopping - 
2012,4,0.5,9677.5,12.30692142,14.499394955,False,entertainment;newsandmedia;shopping - 
2013,3,0.0,11114.0,11.797769270000002,14.20533469,False,entertainment;newsandmedia;shopping - 
2014,5,0.4,12675.8,12.849303255999999,14.47456612,False,entertainment;newsandmedia;shopping - 
2015,6,0.6666666666666666,13075.333333333334,13.239146353333332,14.697003316666667,False,entertainment;newsandmedia;shopping - 
2016,5,4.2,15908.8,13.161137216,14.551412202,False,entertainment;newsandmedia;shopping - 
2017,4,9.5,21820.0,13.8354823175,15.14725577,False,entertainment;newsandmedia;shopping - 
2018,4,10.75,32103.25,13.3216479325,14.172551615,False,entertainment;newsandmedia;shopping - 
2019,4,11.5,30322.75,13.796679235,14.3599434325,False,entertainment;newsandmedia;shopping - 
