year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2004,2,0.0,3476.0,12.44897767,,True,entertainment;newsandmedia;shopping
2005,2,0.0,3476.0,12.44897767,,True,entertainment;newsandmedia;shopping
2006,2,0.0,3457.0,12.44897767,,True,entertainment;newsandmedia;shopping
2007,3,0.0,3316.666667,12.44618052,,True,entertainment;newsandmedia;shopping
2008,6,0.6666666666666666,4556.333333,12.79253388,15.13752101,True,entertainment;newsandmedia;shopping
2009,3,0.0,6028.666667,12.43929883,14.766262300000003,True,entertainment;newsandmedia;shopping
2010,5,0.4,8216.0,13.04836063,14.897979000000001,True,entertainment;newsandmedia;shopping
2011,6,0.6666666666666666,8035.5,12.69196753,14.71819491,True,entertainment;newsandmedia;shopping
2012,4,0.5,9677.5,12.30692142,14.49939495,True,entertainment;newsandmedia;shopping
2013,3,0.0,11114.0,11.79776927,14.20533469,True,entertainment;newsandmedia;shopping
2014,5,0.4,12675.8,12.84930326,14.47456612,True,entertainment;newsandmedia;shopping
2015,6,0.6666666666666666,13075.33333,13.23914635,14.69700332,True,entertainment;newsandmedia;shopping
2016,5,4.2,15908.8,13.16113722,14.5514122,True,entertainment;newsandmedia;shopping
2017,4,9.5,21820.0,13.83548232,15.14725577,True,entertainment;newsandmedia;shopping
2018,4,10.75,32103.25,13.32164793,14.17255161,True,entertainment;newsandmedia;shopping
2019,4,11.5,30322.75,13.79667924,14.35994343,True,entertainment;newsandmedia;shopping
