year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2006,1,11.0,7085.0,13.09718013,15.29246565,False,entertainment;religion;streamingmedia - 
2007,2,12.0,13161.0,13.31619401,15.35917715,False,entertainment;religion;streamingmedia - 
2008,2,11.0,18872.5,13.63976485,15.31429327,False,entertainment;religion;streamingmedia - 
2009,2,11.0,19195.0,13.64561324,15.20269789,False,entertainment;religion;streamingmedia - 
2010,2,11.0,19195.0,13.64561324,15.20269789,False,entertainment;religion;streamingmedia - 
2011,2,11.0,19183.5,13.622138955,15.18013034,False,entertainment;religion;streamingmedia - 
2012,2,11.0,19172.0,13.598664675,15.157562785,False,entertainment;religion;streamingmedia - 
2013,2,12.0,24404.5,12.940742445,15.17843928,False,entertainment;religion;streamingmedia - 
2016,2,12.0,25519.0,13.364084115,14.836745965,False,entertainment;religion;streamingmedia - 
2017,2,12.0,25519.0,13.364084115,14.836745965,False,entertainment;religion;streamingmedia - 
2018,2,13.0,21317.0,16.50538001,16.6881,False,entertainment;religion;streamingmedia - 
2019,2,13.0,21317.0,16.50538001,16.6881,False,entertainment;religion;streamingmedia - 
