year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2006,1,2.0,5545.0,11.58784825,14.06817629,False,entertainment;shopping;sports - 
2007,4,1.0,7782.75,13.0967187575,14.96643201,False,entertainment;shopping;sports - 
2008,4,1.0,7763.0,12.688769685,14.6354370875,False,entertainment;shopping;sports - 
2009,7,1.7142857142857142,7578.428571428572,12.529089374285714,14.525723542857142,False,entertainment;shopping;sports - 
2010,8,4.5,8312.5,12.5786793375,14.460301000000001,False,entertainment;shopping;sports - 
2011,9,4.222222222222222,9626.111111111111,12.759452655555556,14.5963513,False,entertainment;shopping;sports - 
2012,11,3.4545454545454546,8282.818181818182,12.73782665454545,11.548405445454547,False,entertainment;shopping;sports - 
2013,12,3.6666666666666665,8830.083333333334,12.483691516666665,11.775144258333334,False,entertainment;shopping;sports - 
2014,13,3.6923076923076925,8557.076923076924,12.177878276923078,14.28515509230769,False,entertainment;shopping;sports - 
2015,15,3.8,8435.4,12.353778386666669,14.4548414,False,entertainment;shopping;sports - 
2016,11,4.363636363636363,9138.727272727272,12.4613366,14.637851936363639,False,entertainment;shopping;sports - 
2017,12,4.333333333333333,8956.416666666666,12.4391301,14.695963475,False,entertainment;shopping;sports - 
2018,10,4.5,7801.9,12.30015948,14.592944,False,entertainment;shopping;sports - 
2019,9,4.777777777777778,8038.0,12.375328266666665,14.661982033333333,False,entertainment;shopping;sports - 
