year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,6.0,11141.0,15.24616817,15.81774264,False,entertainment;shopping;streamingmedia - 
2005,2,0.0,830.0,12.52179487,0.0,False,entertainment;shopping;streamingmedia - 
2006,2,0.0,830.0,12.52179487,0.0,False,entertainment;shopping;streamingmedia - 
2007,2,0.0,830.0,12.52179487,0.0,False,entertainment;shopping;streamingmedia - 
2008,2,0.0,830.0,12.52179487,0.0,False,entertainment;shopping;streamingmedia - 
2009,2,0.0,830.0,12.52179487,0.0,False,entertainment;shopping;streamingmedia - 
2010,6,2.3333333333333335,10576.166666666666,8.402962416666666,5.589364931666666,False,entertainment;shopping;streamingmedia - 
2011,8,2.375,11625.375,11.06318257625,4.2808435425,False,entertainment;shopping;streamingmedia - 
2012,12,2.6666666666666665,9140.25,8.643959066666666,2.9737376041666668,False,entertainment;shopping;streamingmedia - 
2013,9,2.888888888888889,5192.444444444444,6.57353381,0.0,False,entertainment;shopping;streamingmedia - 
2014,10,3.2,6387.7,7.435919783999999,0.0,False,entertainment;shopping;streamingmedia - 
2015,9,3.5555555555555554,6838.444444444444,7.175980625555557,0.0,False,entertainment;shopping;streamingmedia - 
2016,8,3.25,5565.875,4.88499831125,0.0,False,entertainment;shopping;streamingmedia - 
2017,9,2.888888888888889,5118.777777777777,4.3422207211111115,0.0,False,entertainment;shopping;streamingmedia - 
2018,5,3.2,10555.2,10.223483962,2.91091851,False,entertainment;shopping;streamingmedia - 
2019,7,2.2857142857142856,12773.857142857143,12.326825095714286,4.410959278571428,False,entertainment;shopping;streamingmedia - 
