year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2002,2,0.0,6656.5,10.51663936,13.60996396,False,entertainment;shopping;travel - 
2003,2,0.0,7403.0,10.42507787,12.74508487,False,entertainment;shopping;travel - 
2004,2,0.0,7403.0,10.42507787,12.74508487,False,entertainment;shopping;travel - 
2005,2,0.0,7403.0,10.42507787,12.74508487,False,entertainment;shopping;travel - 
2006,2,0.0,7249.0,12.21326498,15.066780635,False,entertainment;shopping;travel - 
2008,2,0.0,9592.0,11.96705453,15.066780635,False,entertainment;shopping;travel - 
2009,2,0.0,13733.0,12.026603955,15.37956437,False,entertainment;shopping;travel - 
2010,3,2.6666666666666665,17222.333333333332,12.667919903333333,15.299887163333333,False,entertainment;shopping;travel - 
2011,3,2.6666666666666665,17331.666666666668,12.70139109,15.346625956666665,False,entertainment;shopping;travel - 
2012,6,4.0,17552.833333333332,13.702292983333335,15.228658936666667,False,entertainment;shopping;travel - 
2013,4,4.0,17631.0,13.93832238,15.6408060675,False,entertainment;shopping;travel - 
2014,4,3.0,15715.25,14.084699855,15.9348374525,False,entertainment;shopping;travel - 
2015,6,2.6666666666666665,15718.833333333334,13.972786061666667,15.944539943333334,False,entertainment;shopping;travel - 
2016,4,2.0,15824.5,13.77344706,15.6984847475,False,entertainment;shopping;travel - 
2017,6,2.3333333333333335,19826.333333333332,13.772315095000002,16.211837323333334,False,entertainment;shopping;travel - 
2018,6,2.0,24387.0,13.989838428333334,16.678321466666667,False,entertainment;shopping;travel - 
2019,6,2.0,24386.666666666668,13.989927188333333,16.678321466666667,False,entertainment;shopping;travel - 
