year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,2.0,2189.0,13.71320346,,True,entertainment;shopping;weapons
2000,2,2.0,2189.0,13.71320346,,True,entertainment;shopping;weapons
2001,1,2.0,2035.0,14.57647059,,True,entertainment;shopping;weapons
2002,2,3.0,8880.0,14.37738199,15.73105173,True,entertainment;shopping;weapons
2003,2,3.0,10296.0,14.19427366,15.81774264,True,entertainment;shopping;weapons
2004,2,3.0,10296.0,14.19427366,15.81774264,True,entertainment;shopping;weapons
2005,2,3.0,10693.5,14.21103886,15.75311289,True,entertainment;shopping;weapons
2006,2,3.0,11091.0,14.22780405,15.68848315,True,entertainment;shopping;weapons
2007,2,7.5,11787.0,14.25581537,18.70441146,True,entertainment;shopping;weapons
2008,2,0.0,16700.0,15.74265394,15.712342900000001,True,entertainment;shopping;weapons
2009,2,0.0,16923.0,13.85887491,14.69652958,True,entertainment;shopping;weapons
2010,4,0.0,9351.0,13.79333554,14.69652958,True,entertainment;shopping;weapons
2011,3,0.0,6777.333333,13.74976632,14.74345646,True,entertainment;shopping;weapons
2012,4,0.0,9380.0,13.74976632,14.74345646,True,entertainment;shopping;weapons
2013,4,0.0,9380.0,13.74976632,14.74345646,True,entertainment;shopping;weapons
2014,4,0.0,9380.0,13.74976632,14.74345646,True,entertainment;shopping;weapons
2015,2,5.0,12858.0,16.44668309,18.6344097,True,entertainment;shopping;weapons
2016,3,3.3333333333333335,14710.0,15.58528589,17.27447065,True,entertainment;shopping;weapons
2017,3,1.6666666666666667,16665.66667,14.69485808,15.81809829,True,entertainment;shopping;weapons
2018,3,1.6666666666666667,14594.333330000001,14.38719514,15.55511901,True,entertainment;shopping;weapons
2019,1,0.0,17227.0,14.01820069,14.36255379,True,entertainment;shopping;weapons
